2015-11-27 11:58:43,557 C = 6
2015-11-27 12:24:12,719      test-rmse-mean  test-rmse-std  train-rmse-mean  train-rmse-std
0          6.087524       0.005297         6.086397        0.002145
1          5.052577       0.004285         5.050548        0.001254
2          4.255824       0.002539         4.252663        0.001177
3          3.648629       0.004404         3.643682        0.000281
4          3.193713       0.004716         3.186904        0.000736
5          2.857250       0.007389         2.848506        0.001176
6          2.610911       0.005646         2.600080        0.002904
7          2.434608       0.007550         2.421084        0.001703
8          2.308875       0.009397         2.292440        0.003186
9          2.218826       0.009579         2.199743        0.003355
10         2.154591       0.009301         2.133887        0.003917
11         2.106480       0.010254         2.084139        0.002743
12         2.070800       0.011005         2.046647        0.003093
13         2.039474       0.010435         2.014374        0.004296
14         2.017154       0.010545         1.990910        0.004551
15         1.998170       0.009397         1.969801        0.004047
16         1.981462       0.008864         1.951611        0.004418
17         1.968628       0.009067         1.937474        0.004056
18         1.954580       0.011325         1.922339        0.001597
19         1.943720       0.010147         1.910034        0.002505
20         1.934646       0.009528         1.899842        0.003160
21         1.924534       0.009909         1.888695        0.003756
22         1.916395       0.010341         1.879920        0.003751
23         1.909021       0.011358         1.870714        0.003121
24         1.901120       0.012100         1.861346        0.003174
25         1.894401       0.011429         1.852542        0.003538
26         1.887762       0.012134         1.844682        0.003361
27         1.880466       0.012022         1.835810        0.001773
28         1.874463       0.012013         1.828693        0.001619
29         1.868612       0.011921         1.821629        0.001344
..              ...            ...              ...             ...
720        1.649856       0.008936         1.284949        0.003243
721        1.649819       0.008892         1.284716        0.003263
722        1.649796       0.008826         1.284382        0.003253
723        1.649757       0.008824         1.284103        0.003193
724        1.649747       0.008844         1.283896        0.003198
725        1.649716       0.008846         1.283675        0.003206
726        1.649742       0.008889         1.283374        0.003278
727        1.649665       0.008937         1.283072        0.003214
728        1.649690       0.008894         1.282888        0.003188
729        1.649646       0.008938         1.282585        0.003149
730        1.649623       0.008934         1.282420        0.003174
731        1.649587       0.008888         1.282147        0.003196
732        1.649587       0.008930         1.281839        0.003118
733        1.649577       0.008934         1.281483        0.003259
734        1.649600       0.008956         1.281253        0.003266
735        1.649609       0.008974         1.280981        0.003209
736        1.649579       0.008965         1.280738        0.003154
737        1.649559       0.008989         1.280517        0.003163
738        1.649536       0.008938         1.280238        0.003149
739        1.649518       0.008980         1.279978        0.003186
740        1.649498       0.008966         1.279809        0.003159
741        1.649472       0.008964         1.279570        0.003186
742        1.649478       0.008957         1.279346        0.003186
743        1.649502       0.008975         1.279141        0.003172
744        1.649507       0.008979         1.278950        0.003124
745        1.649476       0.008969         1.278683        0.003119
746        1.649473       0.008980         1.278397        0.003051
747        1.649432       0.008972         1.277930        0.002879
748        1.649437       0.008999         1.277657        0.002862
749        1.649437       0.009029         1.277436        0.002859

[750 rows x 4 columns]
