2015-11-27 13:18:54,758 max_depth = 6, eta = 0.05, gamma = 0, lamda = 0.5
2015-11-27 15:11:16,489       test-rmse-mean  test-rmse-std  train-rmse-mean  train-rmse-std
0           7.081893       0.006007         7.081389        0.002828
1           6.764947       0.005669         6.764422        0.002323
2           6.465202       0.005393         6.464621        0.002364
3           6.182059       0.005232         6.181259        0.002255
4           5.914642       0.005016         5.913561        0.002005
5           5.662352       0.004707         5.661107        0.001833
6           5.424395       0.004572         5.423129        0.001495
7           5.199988       0.004323         5.198450        0.001522
8           4.988627       0.003995         4.986847        0.001288
9           4.789824       0.003838         4.787622        0.001180
10          4.602472       0.003576         4.599951        0.001031
11          4.426426       0.003428         4.423440        0.001237
12          4.260510       0.003072         4.257284        0.001262
13          4.104955       0.003062         4.101169        0.001588
14          3.958729       0.002929         3.954649        0.001542
15          3.821556       0.003101         3.817127        0.001958
16          3.692761       0.003032         3.688174        0.002031
17          3.572591       0.003121         3.567561        0.002256
18          3.460155       0.003402         3.454512        0.002573
19          3.354868       0.003721         3.348810        0.002593
20          3.256755       0.003793         3.250286        0.002781
21          3.164602       0.003594         3.157481        0.003250
22          3.079056       0.003635         3.071529        0.003136
23          2.999089       0.003958         2.990984        0.003323
24          2.924881       0.003986         2.916062        0.003403
25          2.855867       0.004248         2.846353        0.003663
26          2.791554       0.004241         2.781651        0.003749
27          2.731725       0.004560         2.721273        0.004004
28          2.676440       0.004947         2.665270        0.004295
29          2.624871       0.005206         2.613102        0.004185
...              ...            ...              ...             ...
2970        1.631036       0.008260         1.273548        0.004743
2971        1.631033       0.008250         1.273485        0.004742
2972        1.631029       0.008247         1.273437        0.004738
2973        1.631026       0.008250         1.273387        0.004732
2974        1.631015       0.008253         1.273323        0.004722
2975        1.631018       0.008251         1.273267        0.004721
2976        1.631010       0.008253         1.273185        0.004723
2977        1.631011       0.008261         1.273124        0.004719
2978        1.631000       0.008260         1.273068        0.004722
2979        1.631003       0.008256         1.273013        0.004737
2980        1.631011       0.008252         1.272965        0.004734
2981        1.630998       0.008233         1.272902        0.004742
2982        1.630999       0.008252         1.272844        0.004734
2983        1.630989       0.008254         1.272773        0.004729
2984        1.630983       0.008252         1.272726        0.004733
2985        1.630960       0.008227         1.272640        0.004764
2986        1.630953       0.008242         1.272576        0.004761
2987        1.630948       0.008242         1.272516        0.004772
2988        1.630941       0.008239         1.272458        0.004782
2989        1.630934       0.008245         1.272402        0.004781
2990        1.630930       0.008242         1.272348        0.004788
2991        1.630862       0.008270         1.272189        0.004733
2992        1.630865       0.008273         1.272137        0.004735
2993        1.630854       0.008262         1.272087        0.004746
2994        1.630838       0.008274         1.272000        0.004731
2995        1.630838       0.008278         1.271946        0.004735
2996        1.630840       0.008280         1.271892        0.004743
2997        1.630826       0.008269         1.271790        0.004792
2998        1.630806       0.008270         1.271711        0.004803
2999        1.630814       0.008262         1.271649        0.004797

[3000 rows x 4 columns]
2015-11-27 15:11:16,504 max_depth = 6, eta = 0.05, gamma = 0, lamda = 1.0
2015-11-27 16:42:47,736       test-rmse-mean  test-rmse-std  train-rmse-mean  train-rmse-std
0           7.081893       0.006007         7.081389        0.002828
1           6.764947       0.005669         6.764422        0.002323
2           6.465202       0.005393         6.464621        0.002364
3           6.182059       0.005232         6.181259        0.002255
4           5.914642       0.005016         5.913561        0.002005
5           5.662352       0.004707         5.661107        0.001833
6           5.424395       0.004572         5.423129        0.001495
7           5.199988       0.004323         5.198450        0.001522
8           4.988627       0.003995         4.986847        0.001288
