2015-11-27 18:40:45,380 max_depth = 6, eta = 0.2, gamma = 0
2015-11-27 19:00:29,948      test-rmse-mean  test-rmse-std  train-rmse-mean  train-rmse-std
0          6.087523       0.005297         6.086397        0.002145
1          5.052575       0.004288         5.050547        0.001254
2          4.255824       0.002548         4.252661        0.001178
3          3.648630       0.004423         3.643679        0.000281
4          3.193738       0.004702         3.186898        0.000733
5          2.857270       0.007377         2.848497        0.001178
6          2.610932       0.005642         2.600056        0.002886
7          2.434672       0.007488         2.421101        0.001736
8          2.308934       0.009338         2.292455        0.003190
9          2.218867       0.009536         2.199744        0.003366
10         2.154608       0.009295         2.133874        0.003922
11         2.106516       0.010224         2.084149        0.002760
12         2.070831       0.010983         2.046664        0.003115
13         2.039440       0.010304         2.014327        0.004272
14         2.017049       0.010512         1.990844        0.004508
15         1.997482       0.010182         1.969577        0.003904
16         1.981745       0.008927         1.952005        0.004505
17         1.968877       0.009157         1.937818        0.004167
18         1.954690       0.011583         1.922553        0.001617
19         1.943762       0.010554         1.910152        0.002506
20         1.934766       0.010132         1.899893        0.003162
21         1.925966       0.009766         1.889798        0.003705
22         1.916637       0.009114         1.879677        0.004602
23         1.909663       0.009300         1.871343        0.004220
24         1.901664       0.009095         1.861917        0.004704
25         1.894900       0.010019         1.853521        0.004101
26         1.888465       0.009772         1.845710        0.003978
27         1.882194       0.010707         1.838001        0.002719
28         1.875371       0.009695         1.829817        0.003806
29         1.869675       0.009792         1.822968        0.003661
..              ...            ...              ...             ...
570        1.655981       0.008235         1.331244        0.002709
571        1.655989       0.008275         1.330977        0.002780
572        1.655898       0.008186         1.330625        0.002753
573        1.655893       0.008199         1.330399        0.002735
574        1.655825       0.008236         1.330110        0.002779
575        1.655849       0.008255         1.329818        0.002833
576        1.655806       0.008264         1.329430        0.002856
577        1.655802       0.008241         1.329183        0.002863
578        1.655814       0.008251         1.328884        0.002916
579        1.655819       0.008236         1.328599        0.002913
580        1.655781       0.008254         1.328347        0.002912
581        1.655800       0.008223         1.328094        0.002869
582        1.655806       0.008228         1.327848        0.002910
583        1.655795       0.008228         1.327551        0.002932
584        1.655731       0.008261         1.327098        0.002782
585        1.655710       0.008239         1.326853        0.002841
586        1.655694       0.008265         1.326558        0.002744
587        1.655680       0.008256         1.326240        0.002701
588        1.655608       0.008304         1.325956        0.002693
589        1.655583       0.008331         1.325770        0.002686
590        1.655547       0.008331         1.325499        0.002663
591        1.655524       0.008307         1.325174        0.002713
592        1.655475       0.008320         1.324819        0.002734
593        1.655442       0.008332         1.324588        0.002768
594        1.655422       0.008434         1.324275        0.002746
595        1.655411       0.008422         1.323926        0.002668
596        1.655316       0.008395         1.323607        0.002678
597        1.655214       0.008472         1.323343        0.002640
598        1.655170       0.008469         1.322940        0.002559
599        1.655031       0.008509         1.322222        0.002185

[600 rows x 4 columns]
2015-11-27 19:00:29,989 max_depth = 6, eta = 0.2, gamma = 1
2015-11-27 19:19:06,970      test-rmse-mean  test-rmse-std  train-rmse-mean  train-rmse-std
0          6.087524       0.005297         6.086397        0.002145
1          5.052577       0.004285         5.050548        0.001254
2          4.255824       0.002539         4.252663        0.001177
3          3.648629       0.004404         3.643682        0.000281
4          3.193713       0.004716         3.186904        0.000736
5          2.857250       0.007389         2.848506        0.001176
6          2.610911       0.005646         2.600080        0.002904
7          2.434608       0.007550         2.421084        0.001703
8          2.308875       0.009397         2.292440        0.003186
9          2.218826       0.009579         2.199743        0.003355
10         2.154591       0.009301         2.133887        0.003917
11         2.106480       0.010254         2.084139        0.002743
12         2.070800       0.011005         2.046647        0.003093
13         2.039474       0.010435         2.014374        0.004296
14         2.017154       0.010545         1.990910        0.004551
15         1.998170       0.009397         1.969801        0.004047
16         1.981462       0.008864         1.951611        0.004418
17         1.968628       0.009067         1.937474        0.004056
18         1.954580       0.011325         1.922339        0.001597
19         1.943720       0.010147         1.910034        0.002505
20         1.934646       0.009528         1.899842        0.003160
21         1.924534       0.009909         1.888695        0.003756
22         1.916395       0.010341         1.879920        0.003751
23         1.909021       0.011358         1.870714        0.003121
24         1.901120       0.012100         1.861346        0.003174
25         1.894401       0.011429         1.852542        0.003538
26         1.887762       0.012134         1.844682        0.003361
27         1.880466       0.012022         1.835810        0.001773
28         1.874463       0.012013         1.828693        0.001619
29         1.868612       0.011921         1.821629        0.001344
..              ...            ...              ...             ...
570        1.655642       0.008489         1.331903        0.004449
571        1.655597       0.008543         1.331576        0.004442
572        1.655583       0.008539         1.331263        0.004345
573        1.655579       0.008514         1.330939        0.004295
574        1.655559       0.008482         1.330594        0.004309
575        1.655498       0.008503         1.330314        0.004285
576        1.655418       0.008519         1.329975        0.004268
577        1.655424       0.008495         1.329669        0.004284
578        1.655342       0.008454         1.329387        0.004373
579        1.655285       0.008469         1.328943        0.004536
580        1.655310       0.008465         1.328687        0.004566
581        1.655310       0.008491         1.328452        0.004595
582        1.655243       0.008519         1.328171        0.004648
583        1.655217       0.008486         1.327902        0.004638
584        1.655147       0.008480         1.327572        0.004630
585        1.655102       0.008510         1.327339        0.004623
586        1.655082       0.008544         1.327146        0.004644
587        1.655073       0.008513         1.326821        0.004648
588        1.654807       0.008210         1.326040        0.005218
589        1.654726       0.008198         1.325776        0.005237
590        1.654678       0.008162         1.325280        0.005499
591        1.654627       0.008181         1.324964        0.005407
592        1.654587       0.008205         1.324662        0.005339
593        1.654445       0.008216         1.324189        0.005174
594        1.654324       0.008220         1.323762        0.005030
595        1.654304       0.008218         1.323381        0.004999
596        1.654284       0.008213         1.323056        0.004970
597        1.654262       0.008256         1.322800        0.004949
598        1.654236       0.008257         1.322555        0.004921
599        1.654226       0.008254         1.322300        0.004935

[600 rows x 4 columns]
2015-11-27 19:19:06,985 max_depth = 6, eta = 0.2, gamma = 2
2015-11-27 19:37:07,402      test-rmse-mean  test-rmse-std  train-rmse-mean  train-rmse-std
0          6.087525       0.005297         6.086397        0.002145
1          5.052569       0.004284         5.050548        0.001254
2          4.255816       0.002541         4.252664        0.001178
3          3.648621       0.004413         3.643683        0.000280
4          3.193704       0.004728         3.186908        0.000735
5          2.857249       0.007391         2.848503        0.001182
6          2.610914       0.005645         2.600078        0.002895
7          2.434613       0.007545         2.421083        0.001696
8          2.308881       0.009395         2.292440        0.003184
9          2.218878       0.009515         2.199760        0.003356
10         2.154649       0.009227         2.133906        0.003919
11         2.106538       0.010177         2.084161        0.002742
12         2.070861       0.010924         2.046675        0.003094
13         2.039535       0.010351         2.014405        0.004294
14         2.017205       0.010458         1.990946        0.004546
15         1.998222       0.009304         1.969838        0.004047
16         1.981508       0.008762         1.951654        0.004422
17         1.968674       0.008962         1.937518        0.004061
18         1.955422       0.010249         1.923150        0.002620
19         1.944131       0.009585         1.910569        0.003093
20         1.934064       0.010240         1.899603        0.002860
21         1.924764       0.009549         1.889221        0.004117
22         1.916824       0.009706         1.880555        0.004166
23         1.909088       0.010493         1.870923        0.003734
24         1.901781       0.011144         1.862400        0.003212
25         1.894556       0.011468         1.853486        0.002944
26         1.888466       0.011447         1.845921        0.002732
27         1.880576       0.011715         1.836791        0.001332
28         1.874850       0.011720         1.829877        0.001454
29         1.868680       0.011383         1.822423        0.001853
..              ...            ...              ...             ...
570        1.654651       0.006870         1.333959        0.005932
571        1.654632       0.006857         1.333761        0.005953
572        1.654671       0.006868         1.333546        0.005993
573        1.654613       0.006899         1.333230        0.006076
574        1.654595       0.006938         1.332896        0.006125
575        1.654540       0.006921         1.332513        0.006179
576        1.654468       0.006922         1.332185        0.006229
577        1.654454       0.006899         1.331846        0.006258
578        1.654421       0.006917         1.331506        0.006191
579        1.654279       0.006932         1.331100        0.006237
580        1.654240       0.006946         1.330763        0.006243
581        1.654174       0.007035         1.330337        0.005950
582        1.654131       0.007034         1.330026        0.005890
583        1.654111       0.007004         1.329759        0.005881
584        1.654105       0.006989         1.329518        0.005905
585        1.654039       0.007017         1.329184        0.005869
586        1.654022       0.006966         1.328895        0.005796
587        1.654028       0.006910         1.328595        0.005846
588        1.654011       0.006854         1.328312        0.005839
589        1.653971       0.006960         1.327559        0.005354
590        1.653900       0.006964         1.327259        0.005352
591        1.653841       0.007042         1.326899        0.005158
592        1.653852       0.007064         1.326593        0.005201
593        1.653846       0.007080         1.326269        0.005243
594        1.653573       0.007244         1.325422        0.005232
595        1.653368       0.007291         1.325029        0.005310
596        1.653295       0.007223         1.324622        0.005456
597        1.653206       0.007119         1.324265        0.005436
598        1.653190       0.007156         1.323925        0.005415
599        1.653167       0.007146         1.323683        0.005378

[600 rows x 4 columns]
2015-11-27 19:37:07,418 max_depth = 6, eta = 0.15, gamma = 0
2015-11-27 20:01:46,659      test-rmse-mean  test-rmse-std  train-rmse-mean  train-rmse-std
0          6.417071       0.005521         6.416107        0.002341
1          5.581538       0.004923         5.580061        0.001584
2          4.887676       0.003981         4.885604        0.000962
3          4.315071       0.003567         4.312282        0.001026
4          3.845274       0.002423         3.840873        0.002099
5          3.461894       0.002999         3.456503        0.003380
6          3.152474       0.004530         3.145667        0.002417
7          2.904864       0.005244         2.896547        0.003441
8          2.706540       0.005090         2.696790        0.003405
9          2.551334       0.005418         2.539896        0.003921
10         2.429456       0.007411         2.416437        0.002758
11         2.332595       0.007407         2.318219        0.003761
